Its a Ray
-0.134344 0.0952536 0.0520958 -0.127652 0.07399 0.1088
Its a Segment
-0.134344 0.0952536 0.0520958 0.16673 0.019964 -0.612901
-0.081854 0.0937329 -0.00756112 
-0.0825795 0.0937805 -0.00656944 
-0.0832913 0.0938266 -0.00556456 
-0.0817894 0.0909919 -0.00761357 
-0.0828622 0.0910525 -0.0066104 
-0.0837824 0.091132 -0.00556609 
-0.0819891 0.0923793 -0.00757573 
-0.0828255 0.0924347 -0.00656966 
-0.0836424 0.0924862 -0.00555232 
-0.082997 0.0883523 -0.00560613 
-0.0810295 0.0895599 -0.00769505 
-0.082525 0.0896742 -0.00660526 
-0.0835634 0.0897492 -0.00557879 
-0.0851109 0.0939488 -0.00257672 
-0.0855876 0.0939777 -0.00157288 
-0.084979 0.0912122 -0.0035611 
-0.0853564 0.091162 -0.00253932 
-0.0855598 0.0912595 -0.00155473 
-0.0849646 0.0925759 -0.00355765 
-0.085327 0.0926016 -0.00256332 
-0.0856886 0.0926246 -0.00156242 
-0.0841107 0.0938743 -0.00455389 
-0.0847199 0.0939171 -0.00356265 
-0.0845016 0.0911794 -0.00456302 
-0.0843489 0.0925325 -0.00454911 
-0.0849546 0.0871617 -0.00253673 
-0.0849643 0.0885105 -0.00254627 
-0.0854224 0.0885478 -0.00153705 
-0.0848366 0.0898781 -0.00356125 
-0.0851803 0.0899483 -0.00256663 
-0.0854479 0.0898939 -0.00155092 
-0.0836382 0.0870656 -0.00453769 
-0.0843646 0.087116 -0.00354087 
-0.0838035 0.0884157 -0.00457068 
-0.084499 0.088474 -0.00355332 
-0.084275 0.0897993 -0.00457099 
-0.0288776 0.0903901 -0.0295833 
-0.0284893 0.0903534 -0.0305816 
-0.0276364 0.0917699 -0.0296042 
-0.02966 0.0875784 -0.0315907 
